n;Lince;Edad_Suelta;suelta;Sexo;Nucleo original;Nucleo reprod;Tras;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
113;Quitapenas;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;1;2;3;4;4;4
186;Quejumbre;1;2;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;2;10;12;12;12
184;Quinquina;1;2;H;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;2;10;12;12;12
193;Quokka;1;2;H;Valdecañas;Montes de Toledo;0;0;0;0;0;0;0;2;9;9;9;9
188;Quietar;1;2;H;Valdecigüeñas;Valdecigüeñas;0;0;0;0;0;0;0;2;4;5;4;4
133;R1 Llerena;NA;1;H;Ortiga;Ortiga;0;0;0;0;0;0;0;1;12;12;12;12
141;Revolera;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;12;12;12;12
142;Roura;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;12;12;12;12
143;Roya;NA;1;H;Ortiga;Ortiga;0;0;0;0;0;0;0;1;12;12;12;12
144;Rusia;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;12;12;12;12
148;R3 Miera;NA;1;H;Valdecañas;Valdecañas;0;0;0;0;0;0;0;1;2;12;12;12
149;Raspona;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;12;12;12
150;Real;NA;1;H;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;1;2;12;12;12
154;Rudita;NA;1;H;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;1;2;12;12;12
152;Robledilla;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;12;5;5
157;R2 Miera;NA;1;H;Valdecañas;Valdecañas;0;0;0;0;0;0;0;1;2;10;12;12
160;Rana;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;10;12;12
158;Rapasova;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;10;12;12
161;Renta;NA;1;H;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;1;2;10;12;12
162;Retráctil;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;10;12;12
163;Rodonita;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;10;12;12
159;Rueca;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;10;12;12
169;Radiante;NA;1;H;Matachel Norte;Cornalvo;1;0;0;0;0;0;0;1;2;6;7;11
175;Romerola;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;4;5;4
166;Razón;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;3;12;12
167;Reuma;NA;1;H;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;1;2;3;12;12
171;Raigambre;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;3;10;12
168;Ramilla;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;3;5;5
174;Rhipsalis;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;3;4;5
165;Russula;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;3;4;4
170;Ráfaga;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;3;4;5
240;Rea;1;2;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;2;12;12;4
242;Resina;1;2;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;2;10;12;12
243;Rabanada;1;2;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;2;3;4;4
200;S1 Nevada;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;1;10;12;12
201;S1 Quilatar;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;1;10;12;12
203;S1 Llerena;NA;1;H;Ortiga;Ortiga;0;0;0;0;0;0;0;0;1;2;12;12
208;Sede;NA;1;H;Matachel Sur;Ortiga;0;0;0;0;0;0;0;0;1;2;12;7
210;Serranía;NA;1;H;Valdecigüeñas;Valdecigüeñas;0;0;0;0;0;0;0;0;1;2;12;12
212;Seseña;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;1;2;12;12
214;Soja;NA;1;H;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;1;2;12;12
215;Soleá;NA;1;H;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;1;2;12;12
218;Sudán;NA;1;H;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;1;2;12;12
219;Suecia;NA;1;H;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;1;2;12;12
226;Señora;NA;1;H;Matachel Norte;Ortiga;0;0;0;0;0;0;0;0;1;2;6;8
