n;Lince;Edad_Suelta;suelta;Sexo;Nucleo original;Nucleo reprod;Tras;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
118;Quirguiz;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;1;2;3;4;10;10
123;Quistión;NA;1;M;Ortiga;Ortiga;0;0;0;0;0;0;1;2;3;4;10;8
124;Quejido;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;1;2;3;4;4;9
120;Quilombos;NA;1;M;Valdecañas;Valdecañas;0;0;0;0;0;0;1;2;3;4;4;8
119;Querrequerre;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;1;2;3;4;4;4
121;Quiosquero;NA;1;M;Sotillo;Sotillo;0;0;0;0;0;0;1;2;3;4;4;4
122;Quitado;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;1;2;3;4;4;4
185;Quatipurú;1;2;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;2;8;10;10;10
187;Quemacocos;1;2;M;Ortiga;Ortiga;0;0;0;0;0;0;0;2;8;10;10;10
189;Quio;1;2;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;2;3;10;10;10
192;Quebracho;1;2;M;Ortiga;Ortiga;0;0;0;0;0;0;0;2;3;4;9;10
191;Quebec;1;2;M;Ibores;Ibores;0;0;0;0;0;0;0;2;3;4;4;9
190;Quimo;1;2;M;Ortiga;Ortiga;0;0;0;0;0;0;0;2;3;4;4;8
139;Ramsés;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;10;10;10;10
140;Recio;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;10;10;10;10
146;Reyezuelo;NA;1;M;Ortiga;Matachel Sur;0;0;0;0;0;0;0;1;10;5;6;6
145;Regreso;NA;1;M;Matachel Sur;Cornalvo;0;0;0;0;0;0;0;1;10;5;6;10
147;R1 Lechuza;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;8;10;10;10
151;Rift;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;10;10;10
153;Roedor;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;1;2;10;10;10
156;Rodaballo;NA;1;M;Valdecañas;Ibores;0;0;0;0;0;0;0;1;2;10;6;6
155;Roy;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;1;2;10;4;10
164;Reposado;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;8;10;10
172;Rabet;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;3;10;10
173;Reptil;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;3;10;10
178;Rato;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;1;2;3;4;10
179;Repión;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;3;4;8
176;Ramoneo;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;3;4;4
183;Rascos;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;3;4;4
177;Raso;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;1;2;3;4;4
181;Ripio;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;3;4;4
182;Riure;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;1;2;3;4;4
180;Romerillo;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;1;2;3;4;4
241;Riesgo;1;2;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;2;8;10;10
244;Ribadeo;1;2;M;Matachel Sur;Ortiga;0;0;0;0;0;0;0;0;2;5;8;10
245;Requeijao;1;2;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;2;3;10;10
246;Rastilho;1;2;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;2;3;4;4
197;Saltamontes;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;1;10;10;10
198;Sevilla;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;1;10;10;10
199;Silvestre;NA;1;M;Ortiga;Ortiga;0;0;0;0;0;0;0;0;1;10;10;10
205;Saciado;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;1;2;10;10
206;Salami;NA;1;M;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;1;2;10;10
207;Satanás;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;1;2;10;10
211;Serrucho;NA;1;M;Ortiga;Ortiga;0;0;0;0;0;0;0;0;1;2;10;10
213;Simba;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;1;2;10;10
216;Soñador;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;1;2;10;10
217;Sucre;NA;1;M;Valdecigüeñas;Valdecigüeñas;0;0;0;0;0;0;0;0;1;2;10;10
221;Soneto;NA;1;M;Ortiga;Ortiga;0;0;0;0;0;0;0;0;1;2;8;10
202;Sustrato;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;1;2;8;10
227;Soldado;NA;1;M;Matachel Sur;Córdoba;0;0;0;0;0;0;0;0;1;2;7;7
237;Sonajero;NA;1;M;Matachel Sur;Cornalvo;0;0;0;0;0;0;0;0;1;2;5;8
233;Séneca;NA;1;M;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;1;2;3;9
239;Sorteo;NA;1;M;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;1;2;3;8
234;Seto;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;1;2;3;4
236;Silbón;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;1;2;3;4
238;Sorgo;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;1;2;3;4
235;Sherkan;NA;1;M;Valdecigüeñas;Valdecigüeñas;0;0;0;0;0;0;0;0;1;2;3;4
309;Samba;1;2;M;Valdecigüeñas;Valdecigüeñas;0;0;0;0;0;0;0;0;0;2;10;10
315;Satélite;1;2;M;Valdecigüeñas;Ortiga;1;0;0;0;0;0;0;0;0;2;7;9
313;Serengueti;1;2;M;Ortiga;Ortiga;0;0;0;0;0;0;0;0;0;2;3;10
318;Salmón;1;2;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;2;3;4
317;Somormujo;1;2;M;Ortiga;Ortiga;0;0;0;0;0;0;0;0;0;2;3;4
258;Tormes;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;10;10
260;Tubérculo;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;10;10
259;Tuareg;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;10;3
261;Tumbo;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;10;3
262;Turrón;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;10;3
264;T1 Promesa;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;8;10
263;Tronco;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;8;10
270;Talento;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;10
271;Talud;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;10
272;Tao;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;10
280;Temple;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;0;1;2;10
283;Terrón;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;10
286;Tetuán;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;10
288;Tiburón;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;10
296;Toronto;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;10
297;Toruño;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;10
300;Tragopán;NA;1;M;Ortiga;Ortiga;0;0;0;0;0;0;0;0;0;1;2;10
301;Trail;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;10
302;Trato;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;10
290;Tímalo;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;8
287;Tíbet;NA;1;M;Ortiga;Ortiga;0;0;0;0;0;0;0;0;0;1;2;3
265;Taco;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;3
268;Tajante;NA;1;M;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;0;1;2;3
289;Tigre;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;3
293;Tobruk;NA;1;M;Matachel Norte;Matachel Norte;0;0;0;0;0;0;0;0;0;1;2;3
294;Tocino;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;3
295;Topacio;NA;1;M;Valdecañas;Valdecañas;0;0;0;0;0;0;0;0;0;1;2;3
304;Tresillo;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;3
305;Trombón;NA;1;M;Matachel Sur;Matachel Sur;0;0;0;0;0;0;0;0;0;1;2;3
424;Torno;1;2;M;Ibores;Ibores;0;0;0;0;0;0;0;0;0;0;2;10
